quote;author
Learning is a treasure that will follow its owner everywhere.;
Your value doesn’t decrease based on someone’s inability to see your worth.;
Happiness is the gap between expectations and reality.;
Don't ignore your dreams. Don't work too much. Say what you think; cultivate friendships. Be happy.;
Sometimes your greatest hopes are destroyed to prepare you for something better.;
Happiness is the gap between expectations and reality.;
The key is to keep company only with people who uplift you, whose presence calls forth your best; Epictetus
It's not how much we give but how much love we put into giving.; Mother Teresa
Life can only be understood backwards, but it must be lived forwards.; Søren Kierkegaard
Opening a book is like opening a door to another world, one in which you learn and experience without algorithms dictating your journey.;Exercise reduces your weight set point by reducing cortisol levels and improving insulin sensitivity.;
Man is disturbed not by things, but by the views he takes of them.; Epictetus
Keeping a journal of what’s going on in your life is a good way to help you distill what’s important and what’s not.;
Life is too short to worry about what others say or think about you. So, read on and live it like you mean it;
